,Unnamed: 0.1,Unnamed: 0,Finished Date,Question,Question URL,Status,Runtime,Language,Question Number,Submission Url,Title,Title Slug,Difficulty,Topic Tags
24,44,44,2024-07-20,Lucky Numbers in a Matrix,https://leetcode.com/problems/lucky-numbers-in-a-matrix,Accepted,107 ms,python3,,,Lucky Numbers in a Matrix,lucky-numbers-in-a-matrix,Easy,"Array, Matrix"
25,43,43,2024-07-20,Number of Atoms,https://leetcode.com/problems/number-of-atoms,Accepted,29 ms,python3,,,Number of Atoms,number-of-atoms,Hard,"Hash Table, String, Stack, Sorting"
26,42,42,2024-07-20,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle,Accepted,48 ms,python3,,,Linked List Cycle,linked-list-cycle,Easy,"Hash Table, Linked List, Two Pointers"
27,41,41,2024-07-20,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Accepted,41 ms,python3,,,Middle of the Linked List,middle-of-the-linked-list,Easy,"Linked List, Two Pointers"
28,35,35,2024-07-20,Minimum Length of String After Deleting Similar Ends,https://leetcode.com/problems/minimum-length-of-string-after-deleting-similar-ends,Accepted,61 ms,python3,,,Minimum Length of String After Deleting Similar Ends,minimum-length-of-string-after-deleting-similar-ends,Medium,"Two Pointers, String"
29,39,39,2024-07-20,Minimum Common Value,https://leetcode.com/problems/minimum-common-value,Accepted,346 ms,python3,,,Minimum Common Value,minimum-common-value,Easy,"Array, Hash Table, Two Pointers, Binary Search"
30,38,38,2024-07-20,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays,Accepted,54 ms,python3,,,Intersection of Two Arrays,intersection-of-two-arrays,Easy,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
31,36,36,2024-07-20,Bag of Tokens,https://leetcode.com/problems/bag-of-tokens,Accepted,50 ms,python3,,,Bag of Tokens,bag-of-tokens,Medium,"Array, Two Pointers, Greedy, Sorting"
32,65,65,2024-07-19,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,Accepted,38 ms,python3,,,Longest Valid Parentheses,longest-valid-parentheses,Hard,"String, Dynamic Programming, Stack"
33,64,64,2024-07-19,Number of Good Leaf Nodes Pairs,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,Accepted,90 ms,python3,,,Number of Good Leaf Nodes Pairs,number-of-good-leaf-nodes-pairs,Medium,"Tree, Depth-First Search, Binary Tree"
34,63,63,2024-07-19,Missing Number,https://leetcode.com/problems/missing-number,Accepted,105 ms,python3,,,Missing Number,missing-number,Easy,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
35,62,62,2024-07-19,Find All People With Secret,https://leetcode.com/problems/find-all-people-with-secret,Accepted,1620 ms,python3,,,Find All People With Secret,find-all-people-with-secret,Hard,"Depth-First Search, Breadth-First Search, Union Find, Graph, Sorting"
36,58,58,2024-07-19,Greatest Common Divisor Traversal,https://leetcode.com/problems/greatest-common-divisor-traversal,Accepted,930 ms,python3,,,Greatest Common Divisor Traversal,greatest-common-divisor-traversal,Hard,"Array, Math, Union Find, Number Theory"
37,57,57,2024-07-19,First Missing Positive,https://leetcode.com/problems/first-missing-positive,Accepted,380 ms,python3,,,First Missing Positive,first-missing-positive,Hard,"Array, Hash Table"
38,51,51,2024-07-19,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops,Accepted,179 ms,python3,,,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,Medium,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
39,55,55,2024-07-19,Robot Collisions,https://leetcode.com/problems/robot-collisions,Accepted,1005 ms,python3,,,Robot Collisions,robot-collisions,Hard,"Array, Stack, Sorting, Simulation"
40,53,53,2024-07-19,Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range,Accepted,56 ms,python3,,,Bitwise AND of Numbers Range,bitwise-and-of-numbers-range,Medium,Bit Manipulation
41,50,50,2024-07-19,Same Tree,https://leetcode.com/problems/same-tree,Accepted,43 ms,python3,,,Same Tree,same-tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
42,49,49,2024-07-19,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree,Accepted,51 ms,python3,,,Diameter of Binary Tree,diameter-of-binary-tree,Easy,"Tree, Depth-First Search, Binary Tree"
43,48,48,2024-07-19,Even Odd Tree,https://leetcode.com/problems/even-odd-tree,Accepted,220 ms,python3,,,Even Odd Tree,even-odd-tree,Medium,"Tree, Breadth-First Search, Binary Tree"
44,47,47,2024-07-19,Find Bottom Left Tree Value,https://leetcode.com/problems/find-bottom-left-tree-value,Accepted,39 ms,python3,,,Find Bottom Left Tree Value,find-bottom-left-tree-value,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
45,46,46,2024-07-19,Maximum Odd Binary Number,https://leetcode.com/problems/maximum-odd-binary-number,Accepted,38 ms,python3,,,Maximum Odd Binary Number,maximum-odd-binary-number,Easy,"Math, String, Greedy"
46,45,45,2024-07-19,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array,Accepted,165 ms,python3,,,Squares of a Sorted Array,squares-of-a-sorted-array,Easy,"Array, Two Pointers, Sorting"
47,54,54,2024-07-19,Find the Town Judge,https://leetcode.com/problems/find-the-town-judge,Accepted,599 ms,python3,,,Find the Town Judge,find-the-town-judge,Easy,"Array, Hash Table, Graph"
48,69,69,2024-07-18,Remove Element,https://leetcode.com/problems/remove-element,Accepted,41 ms,python3,,,Remove Element,remove-element,Easy,"Array, Two Pointers"
49,71,71,2024-07-18,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,Accepted,44 ms,python3,,,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,"Linked List, Recursion"
50,70,70,2024-07-18,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Accepted,69 ms,python3,,,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,"Array, Two Pointers"
51,72,72,2024-07-18,Generate Parentheses,https://leetcode.com/problems/generate-parentheses,Accepted,33 ms,python3,,,Generate Parentheses,generate-parentheses,Medium,"String, Dynamic Programming, Backtracking"
52,67,67,2024-07-18,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Accepted,30 ms,python3,,,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,"Two Pointers, String, String Matching"
53,66,66,2024-07-18,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words,Accepted,90 ms,python3,,,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,"Hash Table, String, Sliding Window"
54,73,73,2024-07-17,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Accepted,30 ms,python3,,,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,"Linked List, Two Pointers"
55,74,74,2024-07-17,4Sum,https://leetcode.com/problems/4sum,Accepted,443 ms,python3,,,4Sum,4sum,Medium,"Array, Two Pointers, Sorting"
56,76,76,2024-07-17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Accepted,35 ms,python3,,,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,"Hash Table, String, Backtracking"
57,99,99,2024-07-16,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,Accepted,61 ms,python3,,,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,"Hash Table, String, Sliding Window"
58,98,98,2024-07-16,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays,Accepted,81 ms,python3,,,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,"Array, Binary Search, Divide and Conquer"
59,89,89,2024-07-16,Reverse Integer,https://leetcode.com/problems/reverse-integer,Accepted,36 ms,python3,,,Reverse Integer,reverse-integer,Medium,Math
60,97,97,2024-07-16,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring,Accepted,272 ms,python3,,,Longest Palindromic Substring,longest-palindromic-substring,Medium,"Two Pointers, String, Dynamic Programming"
61,95,95,2024-07-16,Divide Two Integers,https://leetcode.com/problems/divide-two-integers,Accepted,38 ms,python3,,,Divide Two Integers,divide-two-integers,Medium,"Math, Bit Manipulation"
62,94,94,2024-07-16,Palindrome Number,https://leetcode.com/problems/palindrome-number,Accepted,55 ms,python3,,,Palindrome Number,palindrome-number,Easy,Math
63,93,93,2024-07-16,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,Accepted,35 ms,python3,,,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,"Linked List, Recursion"
64,92,92,2024-07-16,Sudoku Solver,https://leetcode.com/problems/sudoku-solver,Accepted,280 ms,python3,,,Sudoku Solver,sudoku-solver,Hard,"Array, Hash Table, Backtracking, Matrix"
65,91,91,2024-07-16,Integer to Roman,https://leetcode.com/problems/integer-to-roman,Accepted,52 ms,python3,,,Integer to Roman,integer-to-roman,Medium,"Hash Table, Math, String"
66,90,90,2024-07-16,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion,Accepted,41 ms,python3,,,Zigzag Conversion,zigzag-conversion,Medium,String
67,88,88,2024-07-16,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi,Accepted,34 ms,python3,,,String to Integer (atoi),string-to-integer-atoi,Medium,String
68,87,87,2024-07-16,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching,Accepted,8568 ms,python3,,,Regular Expression Matching,regular-expression-matching,Hard,"String, Dynamic Programming, Recursion"
69,86,86,2024-07-16,Roman to Integer,https://leetcode.com/problems/roman-to-integer,Accepted,49 ms,python3,,,Roman to Integer,roman-to-integer,Easy,"Hash Table, Math, String"
70,85,85,2024-07-16,Container With Most Water,https://leetcode.com/problems/container-with-most-water,Accepted,546 ms,python3,,,Container With Most Water,container-with-most-water,Medium,"Array, Two Pointers, Greedy"
71,84,84,2024-07-16,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists,Accepted,70 ms,python3,,,Merge k Sorted Lists,merge-k-sorted-lists,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
72,83,83,2024-07-16,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix,Accepted,45 ms,python3,,,Longest Common Prefix,longest-common-prefix,Easy,"String, Trie"
73,82,82,2024-07-16,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,Accepted,42 ms,python3,,,Valid Parentheses,valid-parentheses,Easy,"String, Stack"
74,81,81,2024-07-16,3Sum,https://leetcode.com/problems/3sum,Accepted,718 ms,python3,,,3Sum,3sum,Medium,"Array, Two Pointers, Sorting"
75,78,78,2024-07-16,3Sum Closest,https://leetcode.com/problems/3sum-closest,Accepted,427 ms,python3,,,3Sum Closest,3sum-closest,Medium,"Array, Two Pointers, Sorting"
76,77,77,2024-07-16,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists,Accepted,33 ms,python3,,,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,"Linked List, Recursion"
77,100,100,2024-07-11,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,Accepted,50 ms,python3,,,Add Two Numbers,add-two-numbers,Medium,"Linked List, Math, Recursion"
78,102,102,2024-07-11,Two Sum,https://leetcode.com/problems/two-sum,Accepted,69 ms,python3,,,Two Sum,two-sum,Easy,"Array, Hash Table"
